Clave compendio,Codigo del expediente,Número del procedimiento o contratación,Partida específica,Clave CUCoP+,Descripción CUCoP+,Descripción detallada,Unidad de medida,Cantidad solicitada,uri,scrapped_day
,E-2023-00037065,AA-12-NCZ-012NCZ001-N-183-2023,25501,25501-0047,TUBO ENSAYO,L1489686 - TUBO PARA CULTIVO DE 5 ML DE POLIPROPILENO CON TAPA DE ROSCA DE 57 X 15.3 MM. ENVASE CON 1000 PIEZAS.,PIEZA,15,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/cd65d814cd974c87bdb5567b35314866/procedimiento,27/07/2024
,E-2023-00042923,AA-51-GYN-051GYN032-N-113-2023,25501,25501-0059,ACEITE DE INMERSION,ACEITE DE INMERSION C/DENSIDAD ESPECIFICA DE 0.834 C/10 MILILITROS,PIEZA,2,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/c3e47b3e6db149ffb818faea998386f0/procedimiento,27/07/2024
,E-2023-00042923,AA-51-GYN-051GYN032-N-113-2023,25501,25501-0088,REACTIVOS QUIMICOS PARA USO DE LABORATORIO DE MEDICION,ÁCIDO ACÉTICO AL 99% SOLUCIÓN C/1 LITRO,PIEZA,1,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/c3e47b3e6db149ffb818faea998386f0/procedimiento,27/07/2024
,E-2023-00042923,AA-51-GYN-051GYN032-N-113-2023,25501,25501-0088,REACTIVOS QUIMICOS PARA USO DE LABORATORIO DE MEDICION,ÁCIDO ACÉTIDO GLACIAL C/1 LITRO,PIEZA,1,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/c3e47b3e6db149ffb818faea998386f0/procedimiento,27/07/2024
,E-2023-00042923,AA-51-GYN-051GYN032-N-113-2023,25501,25501-0088,REACTIVOS QUIMICOS PARA USO DE LABORATORIO DE MEDICION,ÁCIDO CLORHÍDRICO C/1 LITRO,PIEZA,2,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/c3e47b3e6db149ffb818faea998386f0/procedimiento,27/07/2024
,E-2023-00042923,AA-51-GYN-051GYN032-N-113-2023,25501,25501-0088,REACTIVOS QUIMICOS PARA USO DE LABORATORIO DE MEDICION,AGAR BRUCELLA C/450 O 500 GRAMOS,KILOGRAMO,2,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/c3e47b3e6db149ffb818faea998386f0/procedimiento,27/07/2024
,E-2023-00042923,AA-51-GYN-051GYN032-N-113-2023,25501,25501-0088,REACTIVOS QUIMICOS PARA USO DE LABORATORIO DE MEDICION,AZUL ALCIANO 1% PH 2.5 C/100 MILILITROS,PIEZA,1,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/c3e47b3e6db149ffb818faea998386f0/procedimiento,27/07/2024
,E-2023-00042923,AA-51-GYN-051GYN032-N-113-2023,25501,25501-0088,REACTIVOS QUIMICOS PARA USO DE LABORATORIO DE MEDICION,BASE AGAR UREA C/450 O 500 GRAMOS,PIEZA,2,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/c3e47b3e6db149ffb818faea998386f0/procedimiento,27/07/2024
,E-2023-00042923,AA-51-GYN-051GYN032-N-113-2023,25501,25501-0090,MATERIAL DE PLASTICO PARA USO EN LABORATORIO DE MEDICION,CAJA PETRI DESECHABLE 100 * 15 C/150 PIEZAS,PIEZA,4,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/c3e47b3e6db149ffb818faea998386f0/procedimiento,27/07/2024
,E-2023-00042923,AA-51-GYN-051GYN032-N-113-2023,25501,25501-0090,MATERIAL DE PLASTICO PARA USO EN LABORATORIO DE MEDICION,CAJA PETRI DESECHABLE 100 * 15 CON DIVISION C/100 PIEZAS,PIEZA,2,https://upcp-compranet.hacienda.gob.mx/sitiopublico/#/sitiopublico/detalle/c3e47b3e6db149ffb818faea998386f0/procedimiento,27/07/2024
